Area Code,Year,Env_Local_Authority_Name,Clinical_Area_Name,Sex,Age,PM2.5_Total,PM2.5_Anthropogenic,PM2.5_Non_Anthropogenic,Condition,Value,Count,Denominator,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Compared to England value or percentiles,Time period
E08000016,2018,Barnsley,Barnsley,Persons,All ages,7.4596,7.1443,0.3153,Alcohol-related CVD,991.5377716,2389.83,242360.0,952.0333483,1032.255784,929.8113053,1056.067246,Worse,2018/19
E08000016,2019,Barnsley,Barnsley,Persons,18+ yrs,8.9061,8.4414,0.4647,CKD,4.101037858,8626.0,210337.0,4.017051535,4.186300644,3.969401931,4.236580072,Not compared,2019/20
E08000016,2019,Barnsley,Barnsley,Male,All ages,8.9061,8.4414,0.4647,Alcohol-related CVD,1985.058607,2242.09,119936.0,1902.012892,2070.739669,1855.336104,2120.867495,Worse,2019/20
E08000016,2019,Barnsley,Barnsley,Female,All ages,8.9061,8.4414,0.4647,Alcohol-related CVD,334.5360728,433.86,123622.0,303.7001162,367.6465057,286.9422881,387.3676415,Worse,2019/20
E08000016,2019,Barnsley,Barnsley,Persons,All ages,8.9061,8.4414,0.4647,Alcohol-related CVD,1093.780921,2675.95,243558.0,1052.56174,1136.19565,1029.343031,1160.980485,Worse,2019/20
E08000016,2020,Barnsley,Barnsley,Persons,18+ yrs,6.2435,5.7142,0.5293,CKD,3.926932832,8268.0,210546.0,3.844695367,4.010451844,3.798285069,4.059498797,Not compared,2020/21
E08000016,2020,Barnsley,Barnsley,Persons,6+ yrs,6.2435,5.7142,0.5293,Asthma,6.645207468,16433.0,247291.0,6.547649722,6.743771888,6.492100414,6.801440608,Higher 99.8,2020/21
E08000016,2020,Barnsley,Barnsley,Male,All ages,6.2435,5.7142,0.5293,Alcohol-related CVD,1440.024816,1637.78,120216.0,1369.628831,1513.042323,1330.236928,1555.864822,Worse,2020/21
E08000016,2020,Barnsley,Barnsley,Female,All ages,6.2435,5.7142,0.5293,Alcohol-related CVD,236.8764456,309.97,123985.0,211.171367,264.8410741,197.3582722,281.5931215,Worse,2020/21
E08000016,2020,Barnsley,Barnsley,Persons,All ages,6.2435,5.7142,0.5293,Alcohol-related CVD,791.4184865,1947.75,244201.0,756.5196357,827.5070527,736.941528,848.6426605,Worse,2020/21
E08000016,2021,Barnsley,Barnsley,Persons,18+ yrs,6.5888,6.159,0.4299,CKD,3.793525,8037.0,211861.0,3.712980382,3.875348049,3.66733367,3.923622239,Not compared,2021/22
E08000016,2021,Barnsley,Barnsley,Persons,16+ yrs,6.5888,6.159,0.4299,Type 2 Diabetes,8.46,16930.0,200116.0,8.17603656057342,8.761734368991,,,Not compared,2021
E08000016,2021,Barnsley,Barnsley,Persons,6+ yrs,6.5888,6.159,0.4299,Asthma,6.815141545,16965.0,248931.0,6.716817904,6.914459984,6.660626415,6.972749129,Higher 99.8,2021/22
E08000016,2021,Barnsley,Barnsley,Male,All ages,6.5888,6.159,0.4299,Alcohol-related CVD,1825.656398,2099.34,120323.0,1746.571108,1907.33679,1702.158978,1955.146801,Worse,2021/22
E08000016,2021,Barnsley,Barnsley,Female,All ages,6.5888,6.159,0.4299,Alcohol-related CVD,319.9815456,421.26,124564.0,290.0555234,352.1490178,273.8069599,371.3174656,Worse,2021/22
E08000016,2021,Barnsley,Barnsley,Persons,All ages,6.5888,6.159,0.4299,Alcohol-related CVD,1012.73383,2520.6,244887.0,973.4166505,1053.226576,951.2853042,1076.897701,Worse,2021/22
E08000016,2022,Barnsley,Barnsley,Persons,18+ yrs,6.4921,6.1981,0.294,CKD,3.788819003,8090.0,213523.0,3.708667232,3.870239424,3.663141763,3.918372172,Not compared,2022/23
E08000016,2022,Barnsley,Barnsley,Persons,6+ yrs,6.4921,6.1981,0.294,Asthma,7.010324883,17599.0,251044.0,6.911033331,7.110596887,6.854513721,7.169187623,Higher 99.8,2022/23
E08000016,2022,Barnsley,Barnsley,Male,All ages,6.4921,6.1981,0.294,Alcohol-related CVD,2003.2443,2353.04,121223.0,1921.439314,2087.582265,1875.431362,2136.907521,Worse,2022/23
E08000016,2022,Barnsley,Barnsley,Female,All ages,6.4921,6.1981,0.294,Alcohol-related CVD,337.3662499,447.25,125259.0,306.6845182,370.2756114,289.9951283,389.8676739,Worse,2022/23
E08000016,2022,Barnsley,Barnsley,Persons,All ages,6.4921,6.1981,0.294,Alcohol-related CVD,1108.600972,2800.29,246482.0,1067.739448,1150.620647,1044.70993,1175.167423,Worse,2022/23
E08000016,2023,Barnsley,Barnsley,Persons,18+ yrs,6.9225,6.3935,0.5291,CKD,3.871282301,8337.0,215355.0,3.790650035,3.953169483,3.744813163,4.001587085,Not compared,2023/24
E08000016,2023,Barnsley,Barnsley,Persons,6+ yrs,6.9225,6.3935,0.5291,Asthma,7.162619242,18148.0,253371.0,7.062855924,7.263349389,7.005865301,7.322385256,Higher 99.8,2023/24
E08000016,2023,Barnsley,Barnsley,Male,All ages,6.9225,6.3935,0.5291,Alcohol-related CVD,2095.09270502484,2511.63999999998,122193.0,2012.60714012917,2180.04902093388,1966.17865885284,2229.71371475209,Worse,2023/24
E08000016,2023,Barnsley,Barnsley,Female,All ages,6.9225,6.3935,0.5291,Alcohol-related CVD,369.90098868532,496.349999999998,126256.0,337.881414931735,404.122966096482,320.411128688239,424.464362015519,Worse,2023/24
E08000016,2023,Barnsley,Barnsley,Persons,All ages,6.9225,6.3935,0.5291,Alcohol-related CVD,1172.98399412472,3007.98999999998,248449.0,1131.24231509742,1215.86656762634,1107.69755751983,1240.90616754225,Worse,2023/24
E09000002,2012,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,13.6888,11.5347,2.1541,CKD,2.914646076,4624.0,158647.0494,2.83294974,2.998092211,2.786836495,3.047777422,Not compared,2012/13
E09000002,2014,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,13.4052,11.2382,2.1671,CKD,2.669329704,4252.0,159290.9258,2.591108339,2.749305626,2.547387251,2.796601824,Not compared,2014/15
E09000002,2015,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,11.0992,9.965,1.1342,CKD,2.601305964,4163.0,160035.0,2.524387182,2.679974412,2.481184152,2.726740781,Not compared,2015/16
E09000002,2016,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,12.7452,12.1867,0.5585,CKD,2.610528051,4435.0,169889.0,2.535716021,2.686987845,2.493546891,2.732513028,Not compared,2016/17
E09000002,2016,Barking And Dagenham,Barking and Dagenham,Male,All ages,12.7452,12.1867,0.5585,Alcohol-related CVD,1888.145088,1002.99,102215.0,1766.833267,2015.262548,1699.526529,2090.156809,Worse,2016/17
E09000002,2016,Barking And Dagenham,Barking and Dagenham,Female,All ages,12.7452,12.1867,0.5585,Alcohol-related CVD,310.1415351,220.36,108832.0,269.2109488,355.3769305,247.515396,382.66044,Worse,2016/17
E09000002,2016,Barking And Dagenham,Barking and Dagenham,Persons,All ages,12.7452,12.1867,0.5585,Alcohol-related CVD,1003.780422,1223.35,211047.0,946.1766048,1063.874246,914.0976091,1099.209332,Worse,2016/17
E09000002,2017,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,12.6175,12.0184,0.5991,CKD,2.448723195,4249.0,173519.0,2.376920505,2.522146343,2.336503135,2.565860207,Not compared,2017/18
E09000002,2017,Barking And Dagenham,Barking and Dagenham,Male,All ages,12.6175,12.0184,0.5991,Alcohol-related CVD,1979.183714,1049.38,103730.0,1854.625012,2109.566796,1785.45598,2186.348864,Worse,2017/18
E09000002,2017,Barking And Dagenham,Barking and Dagenham,Female,All ages,12.6175,12.0184,0.5991,Alcohol-related CVD,328.4068455,236.56,110287.0,286.5194213,374.5379079,264.2486524,402.3196865,Worse,2017/18
E09000002,2017,Barking And Dagenham,Barking and Dagenham,Persons,All ages,12.6175,12.0184,0.5991,Alcohol-related CVD,1050.948893,1285.94,214017.0,992.0661774,1112.31274,959.246266,1148.377568,Worse,2017/18
E09000002,2018,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,13.0378,12.5418,0.4959,CKD,2.348925011,4156.0,176932.0,2.279357289,2.420086267,2.24028783,2.462395074,Not compared,2018/19
E09000002,2018,Barking And Dagenham,Barking and Dagenham,Male,All ages,13.0378,12.5418,0.4959,Alcohol-related CVD,1957.721275,1043.91,105141.0,1833.676382,2087.582087,1764.799609,2164.060721,Worse,2018/19
E09000002,2018,Barking And Dagenham,Barking and Dagenham,Female,All ages,13.0378,12.5418,0.4959,Alcohol-related CVD,332.6219053,240.58,111157.0,290.4403139,379.0391635,267.9972206,406.9834844,Worse,2018/19
E09000002,2018,Barking And Dagenham,Barking and Dagenham,Persons,All ages,13.0378,12.5418,0.4959,Alcohol-related CVD,1046.855245,1284.49,216298.0,987.9618954,1108.231605,955.1366984,1144.304169,Worse,2018/19
E09000002,2019,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,12.6365,12.0614,0.5751,CKD,2.271774158,4117.0,181224.0,2.204131533,2.340975849,2.165989691,2.382285185,Not compared,2019/20
E09000002,2019,Barking And Dagenham,Barking and Dagenham,Male,All ages,12.6365,12.0614,0.5751,Alcohol-related CVD,1904.293419,1039.14,106502.0,1782.802221,2031.494198,1715.34937,2106.409816,Worse,2019/20
E09000002,2019,Barking And Dagenham,Barking and Dagenham,Female,All ages,12.6365,12.0614,0.5751,Alcohol-related CVD,334.205109,244.74,112326.0,292.1168706,380.4816532,269.7074212,408.3313872,Worse,2019/20
E09000002,2019,Barking And Dagenham,Barking and Dagenham,Persons,All ages,12.6365,12.0614,0.5751,Alcohol-related CVD,1029.924771,1283.88,218828.0,971.8229298,1090.476848,939.4391597,1126.065115,Worse,2019/20
E09000002,2020,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,10.0,9.3629,0.6371,CKD,2.215681555,4050.0,182788.0,2.149165941,2.283745252,2.111625681,2.324429409,Not compared,2020/21
E09000002,2020,Barking And Dagenham,Barking and Dagenham,Persons,6+ yrs,10.0,9.3629,0.6371,Asthma,4.863192833,11194.0,230178.0,4.776006626,4.951520036,4.726580574,5.00331144,Lower 99.8,2020/21
E09000002,2020,Barking And Dagenham,Barking and Dagenham,Male,All ages,10.0,9.3629,0.6371,Alcohol-related CVD,1433.794012,797.8,106665.0,1328.674211,1544.572383,1270.629729,1610.006807,Worse,2020/21
E09000002,2020,Barking And Dagenham,Barking and Dagenham,Female,All ages,10.0,9.3629,0.6371,Alcohol-related CVD,233.9407356,171.06,112562.0,198.8382107,273.2652812,180.4527118,297.1218085,Worse,2020/21
E09000002,2020,Barking And Dagenham,Barking and Dagenham,Persons,All ages,10.0,9.3629,0.6371,Alcohol-related CVD,767.5273137,968.86,219227.0,717.5040099,819.9875019,689.7689569,850.9070413,Worse,2020/21
E09000002,2021,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,8.5915,8.17,0.4215,CKD,2.251892973,4235.0,188064.0,2.18564746,2.31964166,2.148627497,2.359715128,Not compared,2021/22
E09000002,2021,Barking And Dagenham,Barking and Dagenham,Persons,16+ yrs,8.5915,8.17,0.4215,Type 2 Diabetes,9.161,14825.0,161833.0,8.8138543964675,9.52089383048754,,,Not compared,2021
E09000002,2021,Barking And Dagenham,Barking and Dagenham,Persons,6+ yrs,8.5915,8.17,0.4215,Asthma,4.714078325,11138.0,236271.0,4.629354498,4.799918574,4.581206545,4.850378088,Lower 99.8,2021/22
E09000002,2021,Barking And Dagenham,Barking and Dagenham,Male,All ages,8.5915,8.17,0.4215,Alcohol-related CVD,1765.669052,971.97,106417.0,1648.23048,1888.819239,1583.113347,1961.400305,Worse,2021/22
E09000002,2021,Barking And Dagenham,Barking and Dagenham,Female,All ages,8.5915,8.17,0.4215,Alcohol-related CVD,322.8714022,237.24,112297.0,281.5057292,368.4215202,259.5096968,395.851787,Worse,2021/22
E09000002,2021,Barking And Dagenham,Barking and Dagenham,Persons,All ages,8.5915,8.17,0.4215,Alcohol-related CVD,959.0110048,1209.21,218714.0,903.0186744,1017.438129,871.8435588,1051.797034,Worse,2021/22
E09000002,2022,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,9.4895,8.921,0.5685,CKD,3.033181717,5875.0,193691.0,2.957745264,3.110046687,2.915066588,3.155644119,Not compared,2022/23
E09000002,2022,Barking And Dagenham,Barking and Dagenham,Persons,6+ yrs,9.4895,8.921,0.5685,Asthma,4.705465249,11414.0,242569.0,4.621910653,4.790107553,4.574394571,4.839875588,Lower 99.8,2022/23
E09000002,2022,Barking And Dagenham,Barking and Dagenham,Male,All ages,9.4895,8.921,0.5685,Alcohol-related CVD,1730.508108,973.72,107205.0,1615.605731,1850.993595,1551.89257,1922.002799,Worse,2022/23
E09000002,2022,Barking And Dagenham,Barking and Dagenham,Female,All ages,9.4895,8.921,0.5685,Alcohol-related CVD,301.0062438,223.05,112787.0,261.2551772,344.9113721,240.1736311,371.3856115,Worse,2022/23
E09000002,2022,Barking And Dagenham,Barking and Dagenham,Persons,All ages,9.4895,8.921,0.5685,Alcohol-related CVD,938.6694153,1196.77,219992.0,883.6115696,996.134126,852.9624321,1029.930444,Worse,2022/23
E09000002,2023,Barking And Dagenham,Barking and Dagenham,Persons,18+ yrs,8.3267,7.7369,0.5898,CKD,3.154990698,6427.0,203709.0,3.079825481,3.231509586,3.037524081,3.276579386,Not compared,2023/24
E09000002,2023,Barking And Dagenham,Barking and Dagenham,Persons,6+ yrs,8.3267,7.7369,0.5898,Asthma,4.68131799,11903.0,254266.0,4.599837689,4.76383669,4.553524718,4.812299107,Lower 99.8,2023/24
E09000002,2023,Barking And Dagenham,Barking and Dagenham,Male,All ages,8.3267,7.7369,0.5898,Alcohol-related CVD,1910.76544623969,1099.11,108407.0,1790.86111531135,2036.14501422305,1724.21808845889,2109.94567197984,Worse,2023/24
E09000002,2023,Barking And Dagenham,Barking and Dagenham,Female,All ages,8.3267,7.7369,0.5898,Alcohol-related CVD,341.976394015245,259.79,113901.0,299.868916645245,388.144567688991,277.394472660114,415.895424133413,Worse,2023/24
E09000002,2023,Barking And Dagenham,Barking and Dagenham,Persons,All ages,8.3267,7.7369,0.5898,Alcohol-related CVD,1044.21318890493,1358.9,222308.0,986.541321782373,1104.24754733018,954.366017201214,1139.51305383763,Worse,2023/24
E06000022,2012,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,9.8543,7.7427,2.1116,CKD,3.286005561,5232.0,159220.6678,3.199570231,3.374166467,3.150783867,3.426485305,Not compared,2012/13
E06000022,2014,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,10.1413,7.9581,2.1832,CKD,3.332792468,5517.0,165536.8599,3.247237661,3.42000484,3.199102909,3.471534066,Not compared,2014/15
E06000022,2015,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,8.338,7.1252,1.2128,CKD,3.47557316,5791.0,166620.0,3.388470672,3.564315855,3.339443703,3.61670545,Not compared,2015/16
E06000022,2016,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,9.729,9.142,0.587,CKD,3.692690603,6172.0,167141.0,3.603162352,3.783843967,3.552785209,3.837558427,Not compared,2016/17
E06000022,2016,Bath And North East Somerset,Bath and North East Somerset,Male,All ages,9.729,9.142,0.587,Alcohol-related CVD,1069.956187,868.46,90566.0,999.5814711,1143.957363,960.6507043,1187.625514,Better,2016/17
E06000022,2016,Bath And North East Somerset,Bath and North East Somerset,Female,All ages,9.729,9.142,0.587,Alcohol-related CVD,164.2758565,160.09,94941.0,139.5195089,192.116755,126.5971042,209.0342612,Better,2016/17
E06000022,2016,Bath And North East Somerset,Bath and North East Somerset,Persons,All ages,9.729,9.142,0.587,Alcohol-related CVD,574.4705538,1028.55,185507.0,539.7295221,610.8528691,520.444863,632.2827199,Better,2016/17
E06000022,2017,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,8.6882,8.1722,0.5159,CKD,3.669405704,6225.0,169646.0,3.580905203,3.759508376,3.530977923,3.812725265,Not compared,2017/18
E06000022,2017,Bath And North East Somerset,Bath and North East Somerset,Male,All ages,8.6882,8.1722,0.5159,Alcohol-related CVD,1154.385756,953.85,91313.0,1081.985974,1230.340873,1041.857065,1275.115624,Better,2017/18
E06000022,2017,Bath And North East Somerset,Bath and North East Somerset,Female,All ages,8.6882,8.1722,0.5159,Alcohol-related CVD,178.01242,175.12,95581.0,152.3463076,206.7273138,138.8874481,224.1375506,Better,2017/18
E06000022,2017,Bath And North East Somerset,Bath and North East Somerset,Persons,All ages,8.6882,8.1722,0.5159,Alcohol-related CVD,621.5395323,1128.97,186894.0,585.6555237,659.0397753,565.7011588,681.1071613,Better,2017/18
E06000022,2018,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,8.7981,8.2877,0.5104,CKD,3.713673296,5960.0,160488.0,3.622302509,3.80673556,3.570459497,3.862052734,Not compared,2018/19
E06000022,2018,Bath And North East Somerset,Bath and North East Somerset,Male,All ages,8.7981,8.2877,0.5104,Alcohol-related CVD,1155.812251,974.9,92503.0,1084.024749,1231.085742,1044.217744,1275.448276,Better,2018/19
E06000022,2018,Bath And North East Somerset,Bath and North East Somerset,Female,All ages,8.7981,8.2877,0.5104,Alcohol-related CVD,173.9953501,174.89,96986.0,148.8599438,202.1185835,135.680241,219.170627,Better,2018/19
E06000022,2018,Bath And North East Somerset,Bath and North East Somerset,Persons,All ages,8.7981,8.2877,0.5104,Alcohol-related CVD,619.4670301,1149.79,189489.0,583.9908295,656.5262106,564.256592,678.3300992,Better,2018/19
E06000022,2019,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,8.2363,7.6651,0.5713,CKD,3.966484567,6992.0,176277.0,3.876201148,4.058296943,3.825306025,4.1123387,Not compared,2019/20
E06000022,2019,Bath And North East Somerset,Bath and North East Somerset,Male,All ages,8.2363,7.6651,0.5713,Alcohol-related CVD,1142.532719,980.08,92992.0,1071.753005,1216.740149,1032.500679,1260.471924,Better,2019/20
E06000022,2019,Bath And North East Somerset,Bath and North East Somerset,Female,All ages,8.2363,7.6651,0.5713,Alcohol-related CVD,186.9534735,189.59,97184.0,161.0009789,215.8615503,147.3391407,233.3561166,Better,2019/20
E06000022,2019,Bath And North East Somerset,Bath and North East Somerset,Persons,All ages,8.2363,7.6651,0.5713,Alcohol-related CVD,620.8341463,1169.67,190176.0,585.5768777,657.6508749,565.9582832,679.3084674,Better,2019/20
E06000022,2020,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,7.2338,6.501,0.7328,CKD,4.079055412,7203.0,176585.0,3.987794439,4.171837778,3.936135072,4.226631014,Not compared,2020/21
E06000022,2020,Bath And North East Somerset,Bath and North East Somerset,Persons,6+ yrs,7.2338,6.501,0.7328,Asthma,6.679771002,13593.0,203495.0,6.572027587,6.788736437,6.510665256,6.852672351,Higher 99.8,2020/21
E06000022,2020,Bath And North East Somerset,Bath and North East Somerset,Male,All ages,7.2338,6.501,0.7328,Alcohol-related CVD,851.0414431,737.04,93778.0,790.4623474,915.0172602,757.0720831,952.842349,Better,2020/21
E06000022,2020,Bath And North East Somerset,Bath and North East Somerset,Female,All ages,7.2338,6.501,0.7328,Alcohol-related CVD,124.2560183,129.36,98196.0,103.5109454,147.8978887,92.80989935,162.3445206,Better,2020/21
E06000022,2020,Bath And North East Somerset,Bath and North East Somerset,Persons,All ages,7.2338,6.501,0.7328,Alcohol-related CVD,452.3439149,866.4,191974.0,422.5805868,483.6428425,406.1165665,502.1128595,Better,2020/21
E06000022,2021,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,6.9739,6.454,0.5199,CKD,4.089021701,7307.0,178698.0,3.998000212,4.181546166,3.946671541,4.235971015,Not compared,2021/22
E06000022,2021,Bath And North East Somerset,Bath and North East Somerset,Persons,16+ yrs,6.9739,6.454,0.5199,Type 2 Diabetes,6.044,9714.0,160718.0,5.85361202770997,6.24486986651635,,,Not compared,2021
E06000022,2021,Bath And North East Somerset,Bath and North East Somerset,Persons,6+ yrs,6.9739,6.454,0.5199,Asthma,6.795579306,14001.0,206031.0,6.687703838,6.904657435,6.626122882,6.968773881,Higher 99.8,2021/22
E06000022,2021,Bath And North East Somerset,Bath and North East Somerset,Male,All ages,6.9739,6.454,0.5199,Alcohol-related CVD,1042.796267,920.15,93780.0,976.2863598,1112.633163,939.4490689,1153.817423,Better,2021/22
E06000022,2021,Bath And North East Somerset,Bath and North East Somerset,Female,All ages,6.9739,6.454,0.5199,Alcohol-related CVD,165.3683796,171.94,98639.0,141.3146402,192.3073433,128.7128562,208.6480318,Better,2021/22
E06000022,2021,Bath And North East Somerset,Bath and North East Somerset,Persons,All ages,6.9739,6.454,0.5199,Alcohol-related CVD,564.2799826,1092.09,192419.0,531.1591964,598.9181504,512.752827,619.3081155,Better,2021/22
E06000022,2022,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,6.8484,6.3309,0.5175,CKD,4.48032536,8108.0,180969.0,4.386017226,4.576100996,4.332557654,4.632593211,Not compared,2022/23
E06000022,2022,Bath And North East Somerset,Bath and North East Somerset,Persons,6+ yrs,6.8484,6.3309,0.5175,Asthma,7.005997203,14626.0,208764.0,6.897135066,7.116038513,6.835396549,7.180267823,Higher 99.8,2022/23
E06000022,2022,Bath And North East Somerset,Bath and North East Somerset,Male,All ages,6.8484,6.3309,0.5175,Alcohol-related CVD,1066.780701,960.31,95553.0,1000.164988,1136.656397,963.2369745,1177.844394,Better,2022/23
E06000022,2022,Bath And North East Somerset,Bath and North East Somerset,Female,All ages,6.8484,6.3309,0.5175,Alcohol-related CVD,171.4924806,179.39,100065.0,147.0517667,198.7994964,134.2201861,215.3465904,Better,2022/23
E06000022,2022,Bath And North East Somerset,Bath and North East Somerset,Persons,All ages,6.8484,6.3309,0.5175,Alcohol-related CVD,580.7594992,1139.7,195618.0,547.3757219,615.6396308,528.8084399,636.163258,Better,2022/23
E06000022,2023,Bath And North East Somerset,Bath and North East Somerset,Persons,18+ yrs,5.844,5.2863,0.5577,CKD,4.756873351,8689.0,182662.0,4.66014879,4.855040181,4.605260108,4.912916118,Not compared,2023/24
E06000022,2023,Bath And North East Somerset,Bath and North East Somerset,Persons,6+ yrs,5.844,5.2863,0.5577,Asthma,6.933146019,14608.0,210698.0,6.82528444,7.042178605,6.764114542,7.105820381,Higher 99.8,2023/24
E06000022,2023,Bath And North East Somerset,Bath and North East Somerset,Male,All ages,5.844,5.2863,0.5577,Alcohol-related CVD,1185.99055739299,1077.22,98097.0,1115.8983051989,1259.31662942046,1076.95570722211,1302.4864688763,Better,2023/24
E06000022,2023,Bath And North East Somerset,Bath and North East Somerset,Female,All ages,5.844,5.2863,0.5577,Alcohol-related CVD,188.84006073904,199.33,101721.0,163.24179793661,217.277203408577,149.734614645811,234.467035286782,Better,2023/24
E06000022,2023,Bath And North East Somerset,Bath and North East Somerset,Persons,All ages,5.844,5.2863,0.5577,Alcohol-related CVD,646.331890137142,1276.55,199818.0,611.16203845557,682.989253470006,591.561640176104,704.535038776778,Better,2023/24
E06000055,2012,Bedford,Bedford,Persons,18+ yrs,11.2864,9.1762,2.1102,CKD,3.649319592,4705.0,128928.1435,3.548382507,3.752366026,3.491221143,3.813857597,Not compared,2012/13
E06000055,2014,Bedford,Bedford,Persons,18+ yrs,11.2222,9.1814,2.0408,CKD,3.667369821,4904.0,133719.8112,3.567805625,3.768966747,3.511943806,3.829002078,Not compared,2014/15
E06000055,2015,Bedford,Bedford,Persons,18+ yrs,9.4196,8.366,1.0536,CKD,3.581925861,4899.0,136770.0,3.484584442,3.681259476,3.429971817,3.739959678,Not compared,2015/16
E06000055,2016,Bedford,Bedford,Persons,18+ yrs,10.2743,9.7253,0.549,CKD,3.472577357,4957.0,142747.0,3.37861406,3.568455323,3.325941973,3.625052593,Not compared,2016/17
E06000055,2016,Bedford,Bedford,Male,All ages,10.2743,9.7253,0.549,Alcohol-related CVD,1383.310854,965.22,85937.0,1296.495084,1474.364032,1248.364355,1528.032082,Similar,2016/17
E06000055,2016,Bedford,Bedford,Female,All ages,10.2743,9.7253,0.549,Alcohol-related CVD,229.4207901,189.01,87766.0,197.5972536,264.8744208,180.8472498,286.3317443,Similar,2016/17
E06000055,2016,Bedford,Bedford,Persons,All ages,10.2743,9.7253,0.549,Alcohol-related CVD,759.5403966,1154.23,173703.0,716.1037186,804.9114358,691.939624,831.6046191,Similar,2016/17
E06000055,2017,Bedford,Bedford,Persons,18+ yrs,10.3706,9.8276,0.543,CKD,3.653274388,5173.0,141599.0,3.556778909,3.751690252,3.502260292,3.810151306,Not compared,2017/18
