Source Name	Characteristics [Organism]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE7543GSM182781_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Prachatice individual	P-G7543-1	P-G7543-3	GSE7543GSM182781_Cy5 sample	P-G7543-2	GSE7543GSM182781_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182781_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Prachatice child 4	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 4	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182781_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182781_Cy3 sample	P-G7543-2	GSE7543GSM182781_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182781_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Prachatice child 4	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 4	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182800_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Prachatice individual	P-G7543-1	P-G7543-3	GSE7543GSM182800_Cy5 sample	P-G7543-2	GSE7543GSM182800_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182800_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Prachatice child 23	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 23	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182800_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182800_Cy3 sample	P-G7543-2	GSE7543GSM182800_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182800_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Prachatice child 23	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 23	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182804_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Teplice parents which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182804_Cy3 sample	P-G7543-2	GSE7543GSM182804_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182804_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Teplice parent 3	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice parent 3	P-G7543-8	E-GEOD-7543-processed-data-1630337640.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182804_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Teplice parents which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Teplice individual	P-G7543-1	P-G7543-3	GSE7543GSM182804_Cy5 sample	P-G7543-2	GSE7543GSM182804_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182804_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Teplice parent 3	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice parent 3	P-G7543-8	E-GEOD-7543-processed-data-1630337640.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182816_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Prachatice parents which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Prachatice individual	P-G7543-1	P-G7543-3	GSE7543GSM182816_Cy5 sample	P-G7543-2	GSE7543GSM182816_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182816_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Prachatice parent 3	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice parent 3	P-G7543-8	E-GEOD-7543-processed-data-1630337640.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182816_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Prachatice parents which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182816_Cy3 sample	P-G7543-2	GSE7543GSM182816_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182816_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Prachatice parent 3	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice parent 3	P-G7543-8	E-GEOD-7543-processed-data-1630337640.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182794_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182794_Cy3 sample	P-G7543-2	GSE7543GSM182794_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182794_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Prachatice child 17	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 17	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182794_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Prachatice individual	P-G7543-1	P-G7543-3	GSE7543GSM182794_Cy5 sample	P-G7543-2	GSE7543GSM182794_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182794_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Prachatice child 17	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 17	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182771_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Teplice children which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182771_Cy3 sample	P-G7543-2	GSE7543GSM182771_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182771_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Teplice child 17	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice child 17	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182771_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Teplice children which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Teplice individual	P-G7543-1	P-G7543-3	GSE7543GSM182771_Cy5 sample	P-G7543-2	GSE7543GSM182771_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182771_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Teplice child 17	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice child 17	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182764_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Teplice children which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182764_Cy3 sample	P-G7543-2	GSE7543GSM182764_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182764_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Teplice child 10	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice child 10	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182764_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Teplice children which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Teplice individual	P-G7543-1	P-G7543-3	GSE7543GSM182764_Cy5 sample	P-G7543-2	GSE7543GSM182764_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182764_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Teplice child 10	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice child 10	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182778_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Prachatice individual	P-G7543-1	P-G7543-3	GSE7543GSM182778_Cy5 sample	P-G7543-2	GSE7543GSM182778_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182778_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Prachatice child 1	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 1	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182778_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182778_Cy3 sample	P-G7543-2	GSE7543GSM182778_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182778_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Prachatice child 1	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 1	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182770_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Teplice children which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182770_Cy3 sample	P-G7543-2	GSE7543GSM182770_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182770_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Teplice child 16	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice child 16	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182770_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Teplice children which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Teplice individual	P-G7543-1	P-G7543-3	GSE7543GSM182770_Cy5 sample	P-G7543-2	GSE7543GSM182770_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182770_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Teplice child 16	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice child 16	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182790_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182790_Cy3 sample	P-G7543-2	GSE7543GSM182790_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182790_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Prachatice child 13	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 13	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182790_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Prachatice children which live in an area with low levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Prachatice individual	P-G7543-1	P-G7543-3	GSE7543GSM182790_Cy5 sample	P-G7543-2	GSE7543GSM182790_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182790_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Prachatice child 13	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Prachatice child 13	P-G7543-7	E-GEOD-7543-processed-data-1630338458.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182813_Cy3	Homo sapiens	common reference sample compsed of total RNAs isolated from whole blood from 20 Prachatice children:  Blood collected from Teplice parents which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow	P-G7543-1	P-G7543-3	GSE7543GSM182813_Cy3 sample	P-G7543-2	GSE7543GSM182813_Cy3 extract	total_RNA	P-G7543-4	GSE7543GSM182813_Cy3 LE	Cy3	synthetic_RNA	P-G7543-5	Teplice parent 12	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice parent 12	P-G7543-8	E-GEOD-7543-processed-data-1630337640.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
GSE7543GSM182813_Cy5	Homo sapiens	human whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow:  Blood collected from Teplice parents which live in an area with high levels of air pollution. whole blood collected into PAXgene RNA vacutainer by venapuntcure in the inner elbow from Teplice individual	P-G7543-1	P-G7543-3	GSE7543GSM182813_Cy5 sample	P-G7543-2	GSE7543GSM182813_Cy5 extract	total_RNA	P-G7543-4	GSE7543GSM182813_Cy5 LE	Cy5	synthetic_RNA	P-G7543-5	Teplice parent 12	A-AGIL-9	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AGIL-9	P-G7543-6	Teplice parent 12	P-G7543-8	E-GEOD-7543-processed-data-1630337640.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7543/E-GEOD-7543.processed.1.zip
